word,sent
competência,1.0
competente,1.0
competitivo,0.0
compincha,1.0
complacência,1.0
complacente,1.0
complexado,-1.0
complicado,-1.0
composto,1.0
comprado,-1.0
compreensão,1.0
compreensível,1.0
compreensivo,1.0
comprometedor,-1.0
comprometido,0.0
compromissado,0.0
compulsivo,-1.0
compungido,-1.0
comuna,-1.0
comunicativo,1.0
conceituado,1.0
conceituoso,-1.0
concertado,1.0
conciliador,1.0
conciso,1.0
concordante,1.0
concreto,1.0
concupiscente,0.0
condenado,-1.0
condenar,0.0
condenável,-1.0
condescendência,-1.0
condescendente,0.0
condicionado,0.0
condoído,-1.0
condoreiro,-1.0
confiado,0.0
confiança,1.0
confiante,1.0
confiar,0.0
confiável,1.0
confinado,0.0
conflituosidade,-1.0
conflituoso,-1.0
conformado,-1.0
conformar-se,-1.0
conformista,-1.0
confortador,1.0
confortante,1.0
confortável,0.0
confrangedor,-1.0
confranger-se,-1.0
confrontar,1.0
confundido,-1.0
confundir-se,-1.0
confundir,0.0
confusão,-1.0
confuso,-1.0
congelado,-1.0
congestão,-1.0
congestionado,-1.0
congratular,0.0
congruência,1.0
congruente,1.0
conhecedor,1.0
conivente,-1.0
conluiado,-1.0
conquistador,0.0
conquistar,1.0
consagrado,1.0
consciência,1.0
consciencial,0.0
consciencioso,1.0
consciente,1.0
